id,xlangs,englangs
1,AF,Afrikaans
2,AR,Arabic
3,BE,Belarusian
4,BA,Bosnian
5,BU,Bulgarian
6,MM,Burmese
7,HC,Chinese (Hong Kong)
8,SC,Chinese (Simplified)
9,TC,Chinese (Traditional)
10,HR,Croatian
11,CZ,Czech
12,DK,Danish
13,DI,Dinka
14,NL,Dutch
15,DB,Dutch (Belgium)
16,EN,English
17,GB,English (British)
18,US,English (United States)
19,EE,Estonian
20,FI,Finnish
21,FL,Flemish
22,FR,French
23,GF,French (Algeria)
24,BF,French (Belgium)
25,CF,French (Canada)
26,SF,French (Switzerland)
27,DE,German
28,AD,German (Austria)
29,SD,German (Switzerland)
30,GR,Greek
31,HE,Hebrew
32,HI,Hindi
33,HM,Hmong
34,HU,Hungarian
35,IS,Icelandic
36,ID,Indonesian
37,IT,Italian
38,JP,Japanese
39,JV,Javanese
40,KK,Kazakh
41,KH,Khmer
42,KO,Korean
43,LO,Laothian
44,LV,Latvian
45,LT,Lithuanian
46,MK,Macedonian
47,MY,Malay
48,MT,Maltese
49,MI,Maori
50,MN,Mongolian
51,NO,Norwegian
52,FA,Persian/Farsi
53,PL,Polish
54,PT,Portuguese
55,BR,Portuguese (Brazil)
56,RO,Romanian
57,RU,Russian
58,SM,Samoan
59,CS,Serbian
60,SK,Slovak
61,SL,Slovenian
62,SO,Somali
63,ES,Spanish
64,EC,Spanish (Chile)
65,LS,Spanish (Colombia)
66,IE,Spanish (International)
67,AS,Spanish (Latin America)
68,MS,Spanish (Mexico)
69,PS,Spanish (Panama)
70,EP,Spanish (Peru)
71,SU,Sundanese
72,SE,Swedish
73,TL,Tagalog
74,TA,Tamil
76,BO,Tibetan
77,TO,Tonga
78,TR,Turkish
79,UA,Ukrainian
80,UZ,Uzbek
81,VN,Vietnamese
82,CY,Welsh
83,XH,Xhosa
84,ZU,Zulu
75,TH,Thai
